LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M,,,,13.8,18.11,11.76
-37.81599,144.98461,2020,6,26,4.91,2.56,1.61,1.18,6.52,3.74,4.05,2.71,,,,,,
-37.81599,144.98461,2020,6,27,3.39,2.19,0.1,0.04,3.49,2.24,1.67,1.2,,,,,,
-37.81599,144.98461,2020,6,28,2.61,1.7,0.21,0.26,2.82,1.96,1.57,1.2,,,,,,
-37.81599,144.98461,2020,6,29,4.11,2.25,1.4,1.06,5.51,3.31,3.32,2.28,,,,,,
-37.81599,144.98461,2020,6,30,4.85,4.97,5.7,3.31,10.55,8.28,8.22,5.53,,,,,,
-37.81599,144.98461,2020,7,1,7.04,5.64,6.54,3.99,13.58,9.62,9.46,6.54,,,,,,
-37.81599,144.98461,2020,7,2,5.38,4.64,6.88,4.23,12.27,8.87,8.31,5.77,,,,,,
-37.81599,144.98461,2020,7,3,1.41,1.86,6.22,3.93,7.64,5.78,6.97,4.66,,,,,,
-37.81599,144.98461,2020,7,4,2.46,2.45,5.97,3.93,8.43,6.38,7.21,4.73,,,,,,
-37.81599,144.98461,2020,7,5,2.5,2.62,4.93,2.67,7.42,5.29,6.23,4.03,,,,,,
-37.81599,144.98461,2020,7,6,1.1,2.03,4.5,2.37,5.6,4.4,5.08,3.22,,,,,,
-37.81599,144.98461,2020,7,7,1.87,1.09,2.68,1.82,4.55,2.9,3.68,2.48,,,,,,
-37.81599,144.98461,2020,7,8,4.43,2.84,0.73,0.57,5.16,3.42,3.05,2.17,,,,,,
-37.81599,144.98461,2020,7,9,2.84,2.73,4.26,2.72,7.1,5.44,5.51,3.6,,,,,,
-37.81599,144.98461,2020,7,10,3.33,2.55,3.63,2,6.96,4.56,5.36,3.26,,,,,,
-37.81599,144.98461,2020,7,11,5.45,2.79,1.23,0.95,6.68,3.73,3.52,2.17,,,,,,
-37.81599,144.98461,2020,7,12,3.35,2.56,3.64,2.15,6.99,4.71,5.46,3.53,,,,,,
-37.81599,144.98461,2020,7,13,1.73,2.64,6.23,3.67,7.96,6.31,7.26,4.9,,,,,,
-37.81599,144.98461,2020,7,14,1.96,2.74,5.54,3.35,7.5,6.09,6.23,4.2,,,,,,
-37.81599,144.98461,2020,7,15,2.65,1.5,3.17,2.09,5.82,3.6,4.13,2.77,,,,,,
-37.81599,144.98461,2020,7,16,3.93,3.14,1.15,0.83,5.08,3.98,3.3,2.28,,,,,,
-37.81599,144.98461,2020,7,17,5.15,2.77,1.09,0.84,6.24,3.6,2.79,1.91,,,,,,
-37.81599,144.98461,2020,7,18,5.91,5.09,5.8,3.34,11.71,8.42,8.81,6.25,,,,,,
-37.81599,144.98461,2020,7,19,4.47,4.07,8.09,5.62,12.56,9.69,10.61,7.71,,,,,,
